"SubjectID","StimID","node_id","concept","content_type","evidence_type","status","recalled","matched_phrase"
"Encode-Decode_Experiment-3-1","150472","150472_002","person","object_identity","literal","correct","1","man"
"Encode-Decode_Experiment-3-1","150472","150472_004","pizza","object_identity","literal","correct","1","p;izza"
"Encode-Decode_Experiment-14-1","2344622","2344622_001","cat","object_identity","literal","correct","1","cat"
"Encode-Decode_Experiment-14-1","2344622","2344622_005","lying","action_relation","literal","correct","1","lying down"
"Encode-Decode_Experiment-2-1","150472","150472_002","person","object_identity","literal","correct","1","a man"
"Encode-Decode_Experiment-2-1","150472","150472_004","pizza","object_identity","literal","correct","1","pizzas"
"Encode-Decode_Experiment-2-1","150472","150472_014","mouth","object_identity","literal","correct","1","mouth shaped"
"Encode-Decode_Experiment-2-1","150472","150472_015","open","object_attribute","literal","correct","1","mouth shaped oven"
"Encode-Decode_Experiment-4-1","150472","150472_002","person","object_identity","literal","correct","1","chef"
"Encode-Decode_Experiment-4-1","150472","150472_004","pizza","object_identity","literal","correct","1","pizza"
"Encode-Decode_Experiment-4-1","150472","150472_014","mouth","object_identity","literal","correct","1","open mouth"
"Encode-Decode_Experiment-4-1","150472","150472_015","open","object_attribute","literal","correct","1","open mouth"
"Encode-Decode_Experiment-4-1","150472","150472_019","large","object_attribute","literal","correct","1","large open mouth"
"Encode-Decode_Experiment-1-1","2344622","2344622_001","cat","object_identity","literal","correct","1","cat"
"Encode-Decode_Experiment-1-1","2344622","2344622_002","keyboard","object_identity","literal","correct","1","keyboard"
"Encode-Decode_Experiment-1-1","2344622","2344622_003","blanket","object_identity","literal","correct","1","blanket"
"Encode-Decode_Experiment-1-1","2344622","2344622_004","blue","object_attribute","literal","correct","1","blue"
"Encode-Decode_Experiment-1-1","2344622","2344622_005","lying","action_relation","literal","correct","1","lounging"
"Encode-Decode_Experiment-1-1","2344622","2344622_006","next to","spatial_relation","literal","correct","1","next to"
"Encode-Decode_Experiment-12-1","2344622","2344622_001","cat","object_identity","literal","correct","1","cat"
"Encode-Decode_Experiment-12-1","2344622","2344622_002","keyboard","object_identity","literal","correct","1","keyboard"
"Encode-Decode_Experiment-12-1","2344622","2344622_003","blanket","object_identity","literal","correct","1","blanket"
"Encode-Decode_Experiment-12-1","2344622","2344622_004","blue","object_attribute","literal","correct","1","blue"
"Encode-Decode_Experiment-12-1","2344622","2344622_005","lying","action_relation","literal","correct","1","lying down"
"Encode-Decode_Experiment-12-1","2344622","2344622_006","next to","spatial_relation","literal","correct","1","bside keyboard"
"Encode-Decode_Experiment-1-1","150472","150472_001","two","object_attribute","literal","correct","1","two women"
"Encode-Decode_Experiment-1-1","150472","150472_002","person","object_identity","literal","correct","1","women"
"Encode-Decode_Experiment-1-1","150472","150472_004","pizza","object_identity","literal","correct","1","pizza"
"Encode-Decode_Experiment-1-1","150472","150472_006","paper plate","object_identity","literal","correct","1","a paper plate"
"Encode-Decode_Experiment-1-1","150472","150472_007","street","scene_gist","latent","correct","1","the street"
"Encode-Decode_Experiment-1-1","150472","150472_009","glasses","object_identity","literal","correct","1","wears glasses"
"Encode-Decode_Experiment-1-1","150472","150472_010","right","spatial_relation","literal","correct","1","on the right"
"Encode-Decode_Experiment-1-1","150472","150472_011","eat","action_relation","literal","correct","1","eating pizza"
"Encode-Decode_Experiment-10-1","2344622","2344622_001","cat","object_identity","literal","correct","1","cat"
"Encode-Decode_Experiment-10-1","2344622","2344622_002","keyboard","object_identity","literal","correct","1","keyboard"
"Encode-Decode_Experiment-10-1","2344622","2344622_003","blanket","object_identity","literal","correct","1","blue blanket"
"Encode-Decode_Experiment-10-1","2344622","2344622_004","blue","object_attribute","literal","correct","1","blue"
"Encode-Decode_Experiment-10-1","2344622","2344622_005","lying","action_relation","literal","correct","1","cat laying"
"Encode-Decode_Experiment-10-1","2344622","2344622_006","next to","spatial_relation","literal","correct","1","next to a keyboard"
"Encode-Decode_Experiment-10-1","2344622","2344622_007","hand","object_identity","literal","correct","1","a hand"
"Encode-Decode_Experiment-10-1","2344622","2344622_008","typing","action_relation","latent","correct","1","typing"
"Encode-Decode_Experiment-10-1","2344622","2344622_010","brown","object_attribute","literal","correct","1","brownish cat"
