SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n,mean_salience_relational,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations,n_aoi,aoi_prop,mean_salience,mean_meaning,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question
Encode-Decode_Experiment-24-1,2385851,encoding,-0.270397,0.103448,0.120345,0.062488,29,3,False,0.137158,0.148663,5,29,35,34,0.9714,0.157582,0.900179,1.0,2357.0,2.0,2.0,What are the men doing with the suitcases?,0.0,6081.0,4.0,3.0,Where are the men?,1.0,1.0,,,,
Encode-Decode_Experiment-24-1,2385550,encoding,2.0209,0.419355,0.248742,0.084424,31,13,False,0.213626,0.232083,25,16,42,41,0.9762,0.230387,0.881777,1.0,4854.0,3.0,3.0,Which side of the frame is the boy on? (from your perspective),1.0,1918.0,4.0,4.0,Where are the tangerines in the scene?,2.0,2.0,,,,
Encode-Decode_Experiment-24-1,2344622,encoding,1.573608,0.434783,0.274826,0.10165,23,10,False,0.146204,0.275322,18,14,40,32,0.8,0.237523,0.583637,1.0,3091.0,4.0,4.0,What is the cat resting its head on?,1.0,4406.0,2.0,2.0,Where is the cat located?,3.0,2.0,,,,
Encode-Decode_Experiment-24-1,2383555,encoding,1.436437,0.3,0.182067,0.082101,30,9,False,0.193481,0.186662,17,19,42,36,0.8571,0.195365,0.737683,1.0,3310.0,4.0,4.0,What is the woman at the back doing in the boat?,1.0,2038.0,2.0,2.0,Who is holding the child in the boat?,4.0,2.0,,,,
Encode-Decode_Experiment-24-1,2379478,encoding,3.616714,0.75,0.279563,0.130073,16,12,False,0.359022,0.427937,23,4,29,27,0.931,0.372391,0.869801,0.0,6265.0,3.0,4.0,What is the position of the babies?,1.0,3324.0,2.0,2.0,How many babies are visible in the scene?,5.0,1.0,,,,
Encode-Decode_Experiment-24-1,2397102,encoding,3.329074,0.565217,0.223478,0.102653,23,13,False,0.12785,0.227632,26,9,36,35,0.9722,0.150778,0.669409,1.0,2510.0,3.0,3.0,What is the man holding besides the cake knife?,1.0,2390.0,1.0,1.0,What are the couple doing with the cake?,7.0,2.0,,,,
Encode-Decode_Experiment-24-1,2374670,encoding,2.538354,0.714286,0.394381,0.126028,21,15,False,0.195591,0.363948,33,5,41,38,0.9268,0.222749,0.746709,1.0,2992.0,3.0,3.0,Where is the man standing relative to the vehicle?,1.0,3291.0,1.0,1.0,What vehicle sprays water in the scene?,8.0,2.0,,,,
Encode-Decode_Experiment-24-1,2360001,encoding,2.254531,0.3,0.1426,0.069815,30,9,False,0.314387,0.24122,20,22,42,42,1.0,0.276062,0.53532,1.0,2776.0,4.0,4.0,What are the workers doing to the clock?,0.0,2741.0,2.0,4.0,Where are the men standing?,9.0,1.0,,,,
Encode-Decode_Experiment-24-1,2386442,encoding,3.851567,0.916667,0.467583,0.116598,24,22,False,0.125594,,47,0,48,47,0.9792,0.128111,0.907595,1.0,4606.0,1.0,1.0,Who is brushing their teeth in the scene?,1.0,3912.0,3.0,3.0,What is the person on the right wearing?,11.0,2.0,,,,
Encode-Decode_Experiment-24-1,2370664,encoding,1.918748,0.3,0.14015,0.08331,20,6,False,0.158399,0.175858,15,21,36,36,1.0,0.168583,0.916125,1.0,3605.0,1.0,1.0,Where are the people located in the scene?,1.0,2020.0,4.0,4.0,How many donuts are in the scene?,12.0,2.0,,,,
