SubjectID,StimID,Phase,svg_z_dec,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n_dec,mean_salience_relational_dec,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations_dec,n_aoi,aoi_prop_dec,mean_salience_dec,mean_meaning_dec,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question,prop_total,prop_relations,prop_objects,n_total_recalled,n_relations_recalled,n_objects_recalled,svg_z_dec_image_mean,svg_z_dec_within,svg_z_dec_z,svg_z_dec_within_z,n_fixations_dec_z,mean_salience_dec_z,mean_meaning_dec_z,svg_z_dec_image_mean_z
Encode-Decode_Experiment-1-1,2362704,decoding,,0.0,0.0,0.0,7,0,False,,0.105714,0,15,19,15,0.7895,0.088457,0.640101,,,,,,,,,,,,,two bears eating a pumpkin. two black bears.half eaten pumpkin,55163.0,1.0,Which description best matches the image?,0.6666666666666666,0.2,0.7142857142857143,6,1,5,-0.3286689166666667,,,,1.336587500204589,-0.6035252272608148,-0.06477636926070096,-1.486776497235311
Encode-Decode_Experiment-1-1,2367132,decoding,0.318221,0.75,0.6645,0.268682,4,3,False,0.060864,,10,0,10,10,1.0,0.060864,0.654293,,,,,,,,,,,,,"two men playing v'deo games, a small child sitting on a sofa in the background. two blonde men with wii controllers",63967.0,2.0,Which description best matches the image?,0.5,0.6,0.4444444444444444,11,3,8,-0.01209007692307691,0.3303110769230769,0.08448638642804077,0.3419826506966446,-0.6460239793843857,-0.8738896115337228,0.02419670160404594,-0.6481168033220155
Encode-Decode_Experiment-1-1,2412687,decoding,,0.0,0.0,0.0,4,0,False,,0.063599,0,12,14,12,0.8571,0.065487,0.372966,,,,,,,,,,,,,a man playing with a dog' the dog is trying to grab the red frisbee' at night,35594.0,3.0,Which description best matches the image?,0.4666666666666667,0.5,0.4444444444444444,7,2,4,-0.089918,,,,0.23513667821071418,-0.828592088665834,-1.7395101125987924,-0.854293382269824
Encode-Decode_Experiment-1-1,2408717,decoding,-0.481428,0.25,0.3385,0.183828,8,2,False,0.059474,0.047311,4,20,26,24,0.9231,0.048856,0.577167,,,,,,,,,,,,,"four women on a beach with surfboards, the ones closer to the photographer had neon green surfboards",51079.0,6.0,Which description best matches the image?,0.5,0.2857142857142857,0.5555555555555556,8,2,5,0.2959471818181818,-0.7773751818181818,-0.6953777301913334,-0.8048438088737755,2.878618650996014,-0.9915475510962597,-0.4593247938521604,0.1679150999443987
Encode-Decode_Experiment-1-1,2370664,decoding,-0.541137,0.5,0.6505,0.278118,4,2,False,0.154614,0.159884,7,9,17,16,0.9412,0.159114,0.888496,,,,,,,,,,,,,"two men and one woman eating donut in the street, the woman was standing in the middle of the two men, she had a red shirt on.",54622.0,7.0,Which description best matches the image?,0.7,0.5714285714285714,0.6428571428571429,14,4,9,-0.1374644,-0.4036726,-0.7536094125159861,-0.4179364102698721,0.8960071714070391,0.08879298024003182,1.4924717943137655,-0.9802501559536738
Encode-Decode_Experiment-1-1,2356991,decoding,,0.0,0.0,0.0,6,0,False,,0.115091,0,18,20,18,0.9,0.10691,0.5985,,,,,,,,,,,,,"two baseball player in the middle of a game, the player on the left is diving head first to grab the ball, the player on the right is trying to catch the ball with a focused face",79990.0,8.0,Which description best matches the image?,0.6875,0.5714285714285714,0.5,11,4,5,-0.243275,,,,1.556877664603364,-0.4227172693371395,-0.32558307170181855,-1.2605565891968293
Encode-Decode_Experiment-1-1,2409918,decoding,-0.921624,0.181818,0.328818,0.159501,11,2,False,0.072718,0.092482,4,13,20,17,0.85,0.088457,0.505574,,,,,,,,,,,,,"two men sitting on top of two elephants, the elephants are in water the elephant on the right is eating plants.",58745.0,9.0,Which description best matches the image?,0.625,0.6666666666666666,0.6,10,4,6,-0.08443141176470587,-0.8371925882352942,-1.1246824184725444,-0.8667748691181962,1.556877664603364,-0.6035252272608148,-0.9081585778445388,-0.8397586761164787
Encode-Decode_Experiment-1-1,2374670,decoding,0.828019,0.5,0.336,0.198063,8,4,False,0.217528,0.201566,20,2,22,22,1.0,0.216077,0.86383,,,,,,,,,,,,,"a red spray vehicle, a man on the back of a spray vehicle",38925.0,10.0,Which description best matches the image?,0.21052631578947367,0.14285714285714285,0.2727272727272727,4,1,3,0.41830431249999994,0.4097146875,0.5816709848259924,0.4241919955146632,1.997457993400914,0.6469333209546209,1.3378346913015158,0.492055506324167
Encode-Decode_Experiment-1-1,2394020,decoding,1.555962,0.777778,0.499333,0.178953,9,7,False,0.316395,0.227608,21,1,23,22,0.9565,0.29959,0.812239,,,,,,,,,,,,,"two men wearing cowboy hats are on horses, the horses are walking alongside a shore",37777.0,11.0,Which description best matches the image?,0.3,0.14285714285714285,0.3333333333333333,6,1,4,0.7567956,0.7991664,1.2916032484119624,0.8274050218526021,2.217748157799689,1.4652184231103622,1.0143982694453182,1.3887642054810427
Encode-Decode_Experiment-1-1,2387122,decoding,0.315373,0.545455,0.494455,0.161713,11,6,False,0.160792,0.179697,14,3,20,17,0.85,0.150246,0.730465,,,,,,,,,,,,,a big polar bear in a zoo enclosure pawing at the glass that is seperating the photograper from the bear.the photographer had gray hair,61612.0,12.0,Which description best matches the image?,0.6470588235294118,0.4,0.6666666666666666,11,2,8,-0.041064222222222224,0.35643722222222224,0.08170885152943907,0.36903196586075016,1.556877664603364,0.0019016904298570735,0.5017373409719652,-0.7248731899701619
