SubjectID,StimID,CueText,Question,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-8-1,2379478,baby-milk,How many babies are visible in the scene?,1,2404,2,2,1
Encode-Decode_Experiment-8-1,2412687,dog,What is the dog biting onto in the scene?,1,5324,4,4,2
Encode-Decode_Experiment-8-1,2387122,polar bear,Where is the polar bear located in the scene?,1,3095,3,3,3
Encode-Decode_Experiment-8-1,2356125,airport,Where is the luggage being moved to?,0,4803,2,1,4
Encode-Decode_Experiment-8-1,2369373,chef,What is the appearance of the oven?,1,3835,3,3,5
Encode-Decode_Experiment-8-1,2386442,teeth,What is the person on the right wearing?,1,7417,3,3,6
Encode-Decode_Experiment-8-1,2385851,suitcase,What are the men doing with the suitcases?,1,4848,2,2,7
Encode-Decode_Experiment-8-1,2344622,cat,What is the cat resting its head on?,1,3942,4,4,8
Encode-Decode_Experiment-8-1,2385851,suitcase,Where are the men?,1,5280,3,3,9
Encode-Decode_Experiment-8-1,2397102,cake,What is the man holding besides the cake knife?,1,2781,3,3,10
Encode-Decode_Experiment-8-1,2347025,umbrella,Who is holding the umbrella in the scene?,1,4925,2,2,11
Encode-Decode_Experiment-8-1,2367132,video game,In which hand(s) are the men holding the controllers?,1,3032,4,4,12
Encode-Decode_Experiment-8-1,2394020,horse ride,What are the riders wearing on their heads?,1,4150,2,2,13
Encode-Decode_Experiment-8-1,2374670,spray-vehicle,Where is the man standing relative to the vehicle?,1,3568,3,3,14
Encode-Decode_Experiment-8-1,2370664,donuts,How many donuts are in the scene?,0,1968,3,4,15
Encode-Decode_Experiment-8-1,2344622,cat,Where is the cat located?,1,5201,2,2,16
Encode-Decode_Experiment-8-1,2383555,boat,Who is holding the child in the boat?,1,2745,2,2,17
Encode-Decode_Experiment-8-1,150472,pizza,Where is the pizza slice located?,1,2851,2,2,18
Encode-Decode_Experiment-8-1,2411268,apple,Where is the fruit branch relative to the child?,0,4464,3,4,19
Encode-Decode_Experiment-8-1,2409918,elephant,Where are the elephants in the scene?,1,4805,4,4,20
Encode-Decode_Experiment-8-1,2385550,tangerines,Where are the tangerines in the scene?,1,2590,4,4,21
Encode-Decode_Experiment-8-1,2360001,clock,Where are the men standing?,1,4581,4,4,22
Encode-Decode_Experiment-8-1,2374670,spray-vehicle,What vehicle sprays water in the scene?,1,3678,1,1,23
Encode-Decode_Experiment-8-1,2385550,tangerines,Which side of the frame is the boy on? (from your perspective),1,3635,3,3,24
Encode-Decode_Experiment-8-1,2379478,baby-milk,What is the position of the babies?,1,3666,4,4,25
Encode-Decode_Experiment-8-1,2371471,bike-stuntmen,What is nearest to the motorcyclists?,1,5239,3,3,26
Encode-Decode_Experiment-8-1,2386442,teeth,Who is brushing their teeth in the scene?,1,4133,1,1,27
Encode-Decode_Experiment-8-1,2408717,surfboard,What are the surfers doing with the surfboards?,1,2880,3,3,28
Encode-Decode_Experiment-8-1,2360001,clock,What are the workers doing to the clock?,1,2869,4,4,29
Encode-Decode_Experiment-8-1,2411268,apple,What is the child holding while picking fruit?,1,3122,2,2,30
Encode-Decode_Experiment-8-1,2370664,donuts,Where are the people located in the scene?,1,4005,1,1,31
Encode-Decode_Experiment-8-1,2412687,dog,What is the human's body position?,0,3637,2,3,32
Encode-Decode_Experiment-8-1,150472,pizza,How many women are in the scene?,1,3499,4,4,33
Encode-Decode_Experiment-8-1,2350974,drink,What is the child up against?,1,4079,1,1,34
Encode-Decode_Experiment-8-1,2349475,blender,Which part of the blender is the woman holding?,1,4380,3,3,35
Encode-Decode_Experiment-8-1,2409918,elephant,What is the elephant on the right (from your perspective) doing with its trunk?,0,10788,1,2,36
Encode-Decode_Experiment-8-1,2387122,polar bear,What is the polar bear doing next to the enclosure edge?,1,5629,1,1,37
Encode-Decode_Experiment-8-1,2397102,cake,What are the couple doing with the cake?,1,2300,1,1,38
Encode-Decode_Experiment-8-1,2394020,horse ride,Where is the scene taking place?,1,2688,1,1,39
Encode-Decode_Experiment-8-1,2369373,chef,What tool is the chef using?,1,3211,3,3,40
Encode-Decode_Experiment-8-1,2356991,baseball,How is the player on the left (from your perspective) reaching the base?,1,6155,1,1,41
Encode-Decode_Experiment-8-1,2348899,tie,Where is the woman located relative to the man? (from your perspective),1,2948,1,1,42
Encode-Decode_Experiment-8-1,2362704,bears,What are the bears doing with the pumpkins?,1,3022,4,4,43
Encode-Decode_Experiment-8-1,2345035,football,Who runs toward the football in the scene?,1,3677,2,2,44
Encode-Decode_Experiment-8-1,2348899,tie,What is the woman doing?,1,3425,4,4,45
Encode-Decode_Experiment-8-1,2408717,surfboard,How many surfers are in the scene?,1,3744,2,2,46
Encode-Decode_Experiment-8-1,2367132,video game,How many men are playing in the scene?,1,2929,2,2,47
Encode-Decode_Experiment-8-1,2356125,airport,How many uniformed staff are moving the luggage?,1,3667,2,2,48
Encode-Decode_Experiment-8-1,2410309,laptop,How many laptops or electronic devices are visible?,1,3056,4,4,49
Encode-Decode_Experiment-8-1,2383555,boat,What is the woman at the back doing in the boat?,1,3751,4,4,50
Encode-Decode_Experiment-8-1,2347025,umbrella,Where is the baby in relation to the mother?,1,5296,1,1,51
Encode-Decode_Experiment-8-1,2347400,wine,What are the men doing with the wine?,0,7331,4,3,52
Encode-Decode_Experiment-8-1,2362704,bears,How many bears are in the scene?,1,1982,2,2,53
Encode-Decode_Experiment-8-1,2349475,blender,What is the man doing to power the blender?,1,8085,1,1,54
Encode-Decode_Experiment-8-1,2345035,football,What are the people doing with the football?,1,6170,3,3,55
Encode-Decode_Experiment-8-1,2371471,bike-stuntmen,What stunt is one motorcyclist performing?,1,8612,2,2,56
Encode-Decode_Experiment-8-1,2350974,drink,Between which two objects is the child standing?,1,4459,4,4,57
Encode-Decode_Experiment-8-1,2410309,laptop,What is the baby touching?,1,4208,2,2,58
Encode-Decode_Experiment-8-1,2356991,baseball,What is the current action of the gloved player on the base?,1,4792,2,2,59
Encode-Decode_Experiment-8-1,2347400,wine,What are the men sitting on in the scene?,1,2831,1,1,60
