Weight	Nested	Procedure	CueText	StimID	Question	Opt1	Opt2	Opt3	Opt4	CorrectKey	ImageFile
1		PracticeProc	pizza	150472	How many women are in the scene?	one	two	three	four	2	.\stimuli\150472.jpg
1		PracticeProc	pizza	150472	Where is the pizza slice located?	in pizza box	on table	on metal tray	on paper plate	4	.\stimuli\150472.jpg
1		PracticeProc	cat	2344622	Where is the cat located?	next to keyboard	under blanket	on person's arm	on keyboard	1	.\stimuli\2344622.jpg
1		PracticeProc	cat	2344622	What is the cat resting its head on?	plush toy	keyboard edge	blue blanket	person's arm	3	.\stimuli\2344622.jpg
1		PracticeProc	football	2345035	Who runs toward the football in the scene?	girl and boy	girls	men	boys	2	.\stimuli\2345035.jpg
1		PracticeProc	football	2345035	What are the girls doing with the ball?	kicking	bouncing	catching	chasing	4	.\stimuli\2345035.jpg
1		PracticeProc	umbrella	2347025	Who is holding the umbrella in the scene?	man	woman	baby	girl	3	.\stimuli\2347025.jpg
1		PracticeProc	umbrella	2347025	Where is the baby in relation to the mother?	next to her	on back	sitting on shoulders	in arms	2	.\stimuli\2347025.jpg
1		PracticeProc	wine	2347400	What are the men doing with the wine?	clinking	smelling	pouring	sipping	2	.\stimuli\2347400.jpg
1		PracticeProc	wine	2347400	What are the men sitting on in the scene?	chairs	table	couch	bench	3	.\stimuli\2347400.jpg
1		PracticeProc	tie	2348899	What is the woman doing?	touching the man's tie	folding a tie	presenting a gift	pointing at a man	1	.\stimuli\2348899.jpg
1		PracticeProc	tie	2348899	Where is the woman located relative to the man?	at the back	up front	on the left	on the right	4	.\stimuli\2348899.jpg
1		PracticeProc	blender	2349475	Which part of the blender is the woman holding?	base	handle	glass	lid	4	.\stimuli\2349475.jpg
1		PracticeProc	blender	2349475	Where is the man positioned relative to the blender?	behind it	to the left of it	to the right of it	in front of it	2	.\stimuli\2349475.jpg
1		PracticeProc	drink	2350974	What is the child's hand touching?	red car	grey motorcycle	grey car	red motorcycle	1	.\stimuli\2350974.jpg
1		PracticeProc	drink	2350974	Between which two vehicles is the child standing?	blue car and red car	red car and blue motorcycle	grey car and red motorcycle	blue motorcycle and red motorcycle	2	.\stimuli\2350974.jpg
1		PracticeProc	luggage	2356125	Where is the luggage being moved to?	onto xray	onto baggage cart	onto conveyor belt	off of xray	3	.\stimuli\2356125.jpg
1		PracticeProc	luggage	2356125	How many uniformed staff are moving the luggage?	one	two	three	four	2	.\stimuli\2356125.jpg
1		PracticeProc	clock	2360001	Where are the men?	on balcony	on roof edge	on scaffold	on ground	3	.\stimuli\2360001.jpg
1		PracticeProc	clock	2360001	What are the workers doing to the clock?	measuring it	painting it	wiping it	raising it	4	.\stimuli\2360001.jpg
1		PracticeProc	frisbee	2362277	How are the frisbee defender's arms positioned?	both below waist	one above head; one below waist	both out to the side	both high above head	3	.\stimuli\2362277.jpg
1		PracticeProc	frisbee	2362277	On which side of the defender is the thrower located?	behind defender	on the left	in front of defender	on the right	2	.\stimuli\2362277.jpg
1		PracticeProc	bears	2362704	How many bears are in the scene?	one	two	three	four	2	.\stimuli\2362704.jpg
1		PracticeProc	bears	2362704	What are the bears doing with the pumpkin?	eating	fighting over	pawing	sniffing	1	.\stimuli\2362704.jpg
1		PracticeProc	petting	2363971	Where does the petting occur in the scene?	outdoors (park)	outdoors (street)	living room	outdoors (unclear)	3	.\stimuli\2363971.jpg
1		PracticeProc	petting	2363971	What is the woman in the background doing with the child?	reading a book to it	hugging it	feeding it from plate	holding it upside down	4	.\stimuli\2363971.jpg
1		PracticeProc	surfer	2366915	How many surfers are riding the wave?	one	two	three	four	2	.\stimuli\2366915.jpg
1		PracticeProc	surfer	2366915	How large is the wave relative to the surfers?	twice as tall	half as tall	three times as tall	as tall as them	4	.\stimuli\2366915.jpg
1		PracticeProc	video game	2367132	How many men are playing in the scene?	one	two	three	four	2	.\stimuli\2367132.jpg
1		PracticeProc	video game	2367132	In which hand(s) are the men holding the controllers?	in left hand	in both hands	neither hand (on wrists)	in right hand	2	.\stimuli\2367132.jpg
1		PracticeProc	chef	2369373	What is the appearance of the oven?	brick dome	stone arch	metal box	open mouth	4	.\stimuli\2369373.jpg
1		PracticeProc	chef	2369373	What is the chef placing into the oven?	pizza	steak	bread	vegetable tray	1	.\stimuli\2369373.jpg
1		PracticeProc	donuts	2370664	How many donuts are in the scene?	two	three	four	five	2	.\stimuli\2370664.jpg
1		PracticeProc	donuts	2370664	Where are the people located in the scene?	kitchen	restaurant	living room	street	4	.\stimuli\2370664.jpg
1		PracticeProc	motorcycle	2371471	Which of the motorcyclists is performing a handstand?	both	neither	one up front	one at the back	3	.\stimuli\2371471.jpg
1		PracticeProc	motorcycle	2371471	What is nearest to the motorcyclists?	concrete ramp	dirt ramp	grassy ground	asphalt road	2	.\stimuli\2371471.jpg
1		PracticeProc	vehicle	2374670	What vehicle sprays water in the scene?	grey tractor	red truck	grey van	red tractor	2	.\stimuli\2374670.jpg
1		PracticeProc	vehicle	2374670	What is the truck spraying?	fertilizer	asphalt	sand	water	4	.\stimuli\2374670.jpg
1		PracticeProc	milk	2379478	What is the position of the babies?	lying on bed	lying on couch	sitting on bed	lying in crib	1	.\stimuli\2379478.jpg
1		PracticeProc	milk	2379478	In what position are the babies drinking milk?	sitting up	lying on back	lying on side	lying on stomach	2	.\stimuli\2379478.jpg
1		PracticeProc	boat	2383555	Who is holding the child in the boat?	boy	woman	man	girl	2	.\stimuli\2383555.jpg
