Weight	Nested	Procedure	CueText	StimID	Question	Opt1	Opt2	Opt3	Opt4	CorrectKey	ImageFile
1		PracticeProc	pizza	150472	How many women are in the scene?	four	one	three	two	4	.\stimuli\150472.jpg
1		PracticeProc	pizza	150472	Where is the pizza slice located?	on table	on paper plate	on metal tray	in pizza box	2	.\stimuli\150472.jpg
1		PracticeProc	cat	2344622	Where is the cat located?	on keyboard	next to keyboard	under blanket	on person's arm	2	.\stimuli\2344622.jpg
1		PracticeProc	cat	2344622	What is the cat resting its head on?	person's arm	keyboard edge	plush toy	blue blanket	4	.\stimuli\2344622.jpg
1		PracticeProc	football	2345035	Who runs toward the football in the scene?	girl and boy	girls	boys	men	2	.\stimuli\2345035.jpg
1		PracticeProc	football	2345035	What are the girls doing with the ball?	catching	kicking	chasing	bouncing	3	.\stimuli\2345035.jpg
1		PracticeProc	umbrella	2347025	Who is holding the umbrella in the scene?	girl	baby	woman	man	2	.\stimuli\2347025.jpg
1		PracticeProc	umbrella	2347025	Where is the baby in relation to the mother?	on back	sitting on shoulders	walking beside her	held in arms	1	.\stimuli\2347025.jpg
1		PracticeProc	wine	2347400	What are the men doing with the wine?	clinking	pouring	smelling	sipping	1	.\stimuli\2347400.jpg
1		PracticeProc	wine	2347400	What are the men sitting on in the scene?	couch	chairs	bench	table	1	.\stimuli\2347400.jpg
1		PracticeProc	tie	2348899	What is the woman doing?	pointing at a man	presenting a gift	folding a tie	touching the man's tie	4	.\stimuli\2348899.jpg
1		PracticeProc	tie	2348899	Where is the woman located relative to the man?	on the right	at the back	on the left	up front	1	.\stimuli\2348899.jpg
1		PracticeProc	blender	2349475	Which part of the blender is the woman holding?	glass	handle	lid	base	3	.\stimuli\2349475.jpg
1		PracticeProc	blender	2349475	Where is the man (powering the blender) positioned relative to the blender?	to the left of it	behind it	in front of it	to the right of it	1	.\stimuli\2349475.jpg
1		PracticeProc	drink	2350974	What is the child's hand touching?	red car door	grey car door	red motorcycle	grey motorcycle	1	.\stimuli\2350974.jpg
1		PracticeProc	drink	2350974	Between which two vehicles is the child standing?	blue motorcycle and red motorcycle	blue car and red car	grey car and red motorcycle	red car and blue motorcycle	4	.\stimuli\2350974.jpg
1		PracticeProc	airport	2356125	Where is the luggage being moved to?	onto conveyor belt	off of xray	onto xray	onto baggage cart	1	.\stimuli\2356125.jpg
1		PracticeProc	airport	2356125	How many uniformed staff are moving the luggage?	three	two	one	four	2	.\stimuli\2356125.jpg
1		PracticeProc	clock	2360001	Where are the men standing?	on balcony	on roof edge	on ground	on scaffold	4	.\stimuli\2360001.jpg
1		PracticeProc	clock	2360001	What are the workers doing to the clock?	measuring it	wiping it	painting it	raising it	4	.\stimuli\2360001.jpg
1		PracticeProc	bears	2362704	How many bears are in the scene?	one	two	three	four	2	.\stimuli\2362704.jpg
1		PracticeProc	bears	2362704	What are the bears doing with the pumpkin?	pawing	sniffing	fighting over	eating	4	.\stimuli\2362704.jpg
