SubjectID,StimID,node_id,concept,content_type,evidence_type,status,recalled,matched_phrase
Encode-Decode_Experiment-1-1,2412687,2412687_001,man,object_attribute,literal,correct,1,a man
Encode-Decode_Experiment-1-1,2412687,2412687_002,dog,object_identity,literal,correct,1,a dog
Encode-Decode_Experiment-1-1,2412687,2412687_003,frisbee,object_identity,literal,correct,1,red frisbee
Encode-Decode_Experiment-1-1,2412687,2412687_004,red,object_attribute,literal,correct,1,red
Encode-Decode_Experiment-1-1,2412687,2412687_005,playing,action_relation,literal,correct,1,playing with a dog
Encode-Decode_Experiment-1-1,2412687,2412687_007,grabbing,action_relation,literal,correct,1,trying to grab the red frisbee
Encode-Decode_Experiment-1-1,2412687,2412687_009,night,scene_gist,latent,correct,1,at night
Encode-Decode_Experiment-11-1,2412687,2412687_001,man,object_attribute,literal,correct,1,a man
Encode-Decode_Experiment-11-1,2412687,2412687_002,dog,object_identity,literal,correct,1,the dog
Encode-Decode_Experiment-11-1,2412687,2412687_003,frisbee,object_identity,literal,correct,1,frisbee
Encode-Decode_Experiment-11-1,2412687,2412687_004,red,object_attribute,literal,correct,1,red
Encode-Decode_Experiment-11-1,2412687,2412687_006,holding,action_relation,literal,correct,1,holding out
Encode-Decode_Experiment-11-1,2412687,2412687_007,grabbing,action_relation,literal,correct,1,trying to take with its mouth
Encode-Decode_Experiment-11-1,2412687,2412687_019,mouth,object_identity,latent,correct,1,mouth
Encode-Decode_Experiment-12-1,2412687,2412687_002,dog,object_identity,literal,correct,1,dog
Encode-Decode_Experiment-15-1,2412687,2412687_001,man,object_attribute,literal,correct,1,mans hand
Encode-Decode_Experiment-15-1,2412687,2412687_002,dog,object_identity,literal,correct,1,dog
Encode-Decode_Experiment-15-1,2412687,2412687_003,frisbee,object_identity,literal,correct,1,red frisbee
Encode-Decode_Experiment-15-1,2412687,2412687_004,red,object_attribute,literal,correct,1,red
Encode-Decode_Experiment-15-1,2412687,2412687_006,holding,action_relation,literal,correct,1,mans hand
Encode-Decode_Experiment-15-1,2412687,2412687_007,grabbing,action_relation,literal,correct,1,trying to bite red frisbee
Encode-Decode_Experiment-15-1,2412687,2412687_014,right,spatial_relation,literal,correct,1,to the right oft he dog
Encode-Decode_Experiment-15-1,2412687,2412687_017,standing,action_relation,literal,correct,1,man standing up
Encode-Decode_Experiment-15-1,2412687,2412687_018,hand,object_identity,literal,correct,1,mans hand
Encode-Decode_Experiment-2-1,2412687,2412687_001,man,object_attribute,literal,correct,1,a man
Encode-Decode_Experiment-2-1,2412687,2412687_002,dog,object_identity,literal,correct,1,a dog
Encode-Decode_Experiment-2-1,2412687,2412687_003,frisbee,object_identity,literal,correct,1,red frisbee
Encode-Decode_Experiment-2-1,2412687,2412687_004,red,object_attribute,literal,correct,1,red
Encode-Decode_Experiment-2-1,2412687,2412687_005,playing,action_relation,literal,correct,1,they were playin
Encode-Decode_Experiment-2-1,2412687,2412687_006,holding,action_relation,literal,correct,1,was holdina red frisbee
Encode-Decode_Experiment-2-1,2412687,2412687_009,night,scene_gist,latent,correct,1,at night
Encode-Decode_Experiment-2-1,2412687,2412687_011,outside,scene_gist,literal,correct,1,outside
Encode-Decode_Experiment-2-1,2412687,2412687_012,backyard,scene_gist,latent,correct,1,backyard
Encode-Decode_Experiment-6-1,2412687,2412687_002,dog,object_identity,literal,correct,1,a dog
Encode-Decode_Experiment-16-1,2412687,2412687_001,man,object_attribute,literal,correct,1,man on right
