Weight	Nested	Procedure	CueText	StimID	ImageFile	Q1	Q1_Opt1	Q1_Opt2	Q1_Opt3	Q1_Opt4	Q1_CorrectKey	Q2	Q2_Opt1	Q2_Opt2	Q2_Opt3	Q2_Opt4	Q2_CorrectKey
1		TestProc	pizza	150472	.\stimuli\150472.jpg	How many women are in the scene?	four	one	three	two	4	Where is the pizza slice located?	on table	on paper plate	on metal tray	in pizza box	2
1		TestProc	cat	2344622	.\stimuli\2344622.jpg	Where is the cat located?	on keyboard	next to keyboard	under blanket	on person's arm	2	What is the cat resting its head on?	person's arm	keyboard edge	plush toy	blue blanket	4
1		TestProc	football	2345035	.\stimuli\2345035.jpg	Who runs toward the football in the scene?	girl and boy	girls	boys	men	2	What are the girls doing with the ball?	catching	dribbling	chasing	passing	3
1		TestProc	umbrella	2347025	.\stimuli\2347025.jpg	Who is holding the umbrella in the scene?	girl	baby	woman	man	2	Where is the baby in relation to the mother?	on back	sitting on shoulders	walking beside her	held in arms	1
1		TestProc	wine	2347400	.\stimuli\2347400.jpg	What are the men doing with the wine?	clinking	pouring	smelling	sipping	3	What are the men sitting on in the scene?	couch	chairs	bench	table	1
1		TestProc	tie	2348899	.\stimuli\2348899.jpg	What is the woman doing?	pointing at a man	presenting a gift	folding a tie	touching the man's tie	4	Where is the woman located relative to the man? (from your perspective)	on the right	at the back	on the left	up front	1
1		TestProc	blender	2349475	.\stimuli\2349475.jpg	Which part of the blender is the woman holding?	glass	handle	lid	base	3	What is the man doing to power the blender?	pedaling a bicycle	turning a crank	pressing a button	pulling a lever	1
1		TestProc	drink	2350974	.\stimuli\2350974.jpg	What is the child up against?	car	motorcycle	bicycle	stroller	1	Between which two objects is the child standing?	a car and a bicycle	a car and a stroller	two cars	a car and a motorcycle	4
1		TestProc	airport	2356125	.\stimuli\2356125.jpg	Where is the luggage being moved to?	onto conveyor belt	off of xray	onto xray	onto baggage cart	1	How many uniformed staff are moving the luggage?	three	two	one	four	2
1		TestProc	clock	2360001	.\stimuli\2360001.jpg	Where are the men standing?	on balcony	on roof edge	on ground	on scaffold	4	What are the workers doing to the clock?	measuring it	wiping it	painting it	raising it	4
1		TestProc	bears	2362704	.\stimuli\2362704.jpg	How many bears are in the scene?	one	two	three	four	2	What are the bears doing with the pumpkins?	pawing	sniffing	fighting over	eating	4
1		TestProc	video game	2367132	.\stimuli\2367132.jpg	How many men are playing in the scene?	four	two	one	three	2	In which hand(s) are the men holding the controllers?	their right hand	their left hand	neither hand (on their wrists)	both hands	4
1		TestProc	chef	2369373	.\stimuli\2369373.jpg	What is the appearance of the oven?	stone arch	brick dome	open mouth	metal box	3	What tool is the chef using?	frying pan	chef's knife	pizza paddle	wooden spoon	3
1		TestProc	donuts	2370664	.\stimuli\2370664.jpg	How many donuts are in the scene?	two	four	five	three	4	Where are the people located in the scene?	street	kitchen	living room	restaurant	1
1		TestProc	motorcycle	2371471	.\stimuli\2371471.jpg	What stunt is one motorcyclist performing?	jumping off the ramp	doing a handstand	riding with one hand	spinning the bike	2	What is nearest to the motorcyclists?	concrete ramp	grassy ground	dirt ramp	asphalt road	3
1		TestProc	spray-vehicle	2374670	.\stimuli\2374670.jpg	What vehicle sprays water in the scene?	red truck	grey van	grey tractor	red tractor	1	Where is the man standing relative to the vehicle?	to the left of the vehicle	to the right of the vehicle	behind the vehicle	on top of the vehicle	3
1		TestProc	baby-milk	2379478	.\stimuli\2379478.jpg	What is the position of the babies?	lying on couch	sitting on bed	lying in crib	lying on bed	4	In what position are the babies drinking milk?	lying on side	lying on back	lying on stomach	sitting up	2
1		TestProc	boat	2383555	.\stimuli\2383555.jpg	Who is holding the child in the boat?	man	woman	girl	boy	2	What is the woman at the back doing in the boat?	standing	waving	sitting	rowing	4
1		TestProc	tangerines	2385550	.\stimuli\2385550.jpg	Where are the tangerines in the scene?	in hands	in front of eyes	on head	in mouths	4	Which side of the frame is the boy on? (from your perspective)	in the back	in the front	on the left	on the right	3
1		TestProc	teeth	2386442	.\stimuli\2386442.jpg	Who is brushing their teeth in the scene?	man, woman, and child	child and two women	man and woman	woman and child	1	What is the person on the right wearing?	a checkered shirt	a pink dress	a purple shirt	a green jacket	3
1		TestProc	polar bear	2387122	.\stimuli\2387122.jpg	Where is the polar bear located in the scene?	on rocks	on ice	in water	on grass	3	What is the polar bear doing next to the enclosure edge?	pressing on glass enclosure	swimming away from glass enclosure	diving underwater	sitting on snowy ground	1
1		TestProc	cake	2397102	.\stimuli\2397102.jpg	What are the couple doing with the cake?	cutting it	feeding each other	posing next to it	serving it	1	What is the man holding besides the cake knife?	paper plate	wedding gift	beer bottle	wine glass	3
1		TestProc	apple	2411268	.\stimuli\2411268.jpg	What is the child holding while picking fruit?	brown basket	red bag	brown box	white bucket	2	Where is the fruit branch relative to the child?	below head	near ground	at head height	above head	4
1		TestProc	dog	2412687	.\stimuli\2412687.jpg	What is the dog biting onto in the scene?	red ball	red boomerang	red bone	red frisbee	4	What is the human's body position?	sitting cross-legged	crouching down	standing upright	lying down 	3
1		TestProc	baseball	2356991	.\stimuli\2356991.jpg	How is the player on the left (from your perspective) reaching the base?	sliding headfirst	running towards it	sliding feetfirst	sliding on knees	1	What is the current action of the gloved player on the base?	caught the ball already	is catching the ball	is throwing the ball	is dropping the ball	2
1		TestProc	suitcase	2385851	.\stimuli\2385851.jpg	What are the men doing with the suitcases?	stacking them	carrying them	pulling them	opening them	2	Where are the men?	walking along a train platform	walking into a hotel lobby	walking under a covered walkway	walking in an airport terminal	3
1		TestProc	horse ride	2394020	.\stimuli\2394020.jpg	Where is the scene taking place?	along beach	along ocean	along open field	along stream	1	What are the riders wearing on their heads?	sun hats	cowboy hats	baseball caps	helmets	2
1		TestProc	surfboard	2408717	.\stimuli\2408717.jpg	How many surfers are in the scene?	five	four	three	two	2	What are the surfers doing with the surfboards?	surfing on waves	lying on them	carrying them	standing on them	3
1		TestProc	elephant	2409918	.\stimuli\2409918.jpg	What is the elephant on the right (from your perspective) doing with its trunk?	spraying water	eating plants	grabbing log	reaching forward	2	Where are the elephants in the scene?	walking on land	splashing in puddle	standing in mud	swimming in water	4
1		TestProc	laptop	2410309	.\stimuli\2410309.jpg	How many laptops or electronic devices are visible?	four	three	one	two	4	What is the baby touching?	screen	keyboard	bottle	mouse	2
