SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-22-1,2367132,video game,Which description best matches the image?,"two men holding controllers in both hands. there was a young girl sitting on the couch behind them, watching them. the men were standing up and looking at the screen",52479,1
Encode-Decode_Experiment-22-1,2347025,umbrella,Which description best matches the image?,a woman was looking at the camera and had a baby on her back. the baby was holding a large pink umbrella and was also looking at the camera,27806,2
Encode-Decode_Experiment-22-1,2410309,laptop,Which description best matches the image?,a woman and baby were sitting on a beige couch. the woman had a laptop on her lap and was looking at the screen. the baby was sat and was pressing the keyboard on a second laptop. there was an empty diet coke bottle between them,53455,3
Encode-Decode_Experiment-22-1,2374670,spray-vehicle,Which description best matches the image?,a red tractor spraying water was being driven by a man along a path amid a farm. a second man was positioned on the back of the vehicle,31695,4
Encode-Decode_Experiment-22-1,2412687,dog,Which description best matches the image?,a black dog was biting a red frisbee being thrown by a man. the scene was in a park. the dog was jumping up to reach the frisbee. the man was wearing a cap,51261,5
Encode-Decode_Experiment-22-1,2383555,boat,Which description best matches the image?,4 people were sat on a boat going doing a river. the woman at the back was rowing. the woman at the front had a baby on her lap. the women were wearing bamboo hats,32741,6
Encode-Decode_Experiment-22-1,2344622,cat,Which description best matches the image?,"a cat lay down on a desk, with a blue blanket underneath its head. to its right you could see a hand touching a keyboard",27689,7
Encode-Decode_Experiment-22-1,2386442,teeth,Which description best matches the image?,"a woman, a child and a man were brushing their teeth, all looking at the camera. the child was in the middle. the man was wearing a purple and yellow shirt.",30038,8
Encode-Decode_Experiment-22-1,2394020,horse ride,Which description best matches the image?,two men were riding horses down a beachfront. the ocean was visible. the men were wearing cowboy hats and chequered shirts,30853,9
Encode-Decode_Experiment-22-1,2349475,blender,Which description best matches the image?,"three people were in the photo. one woman was holding the lid of the beldner which had an orangey/brown liquid in it. another person was powering the blender by pedalling their bike, which had silver metal handles",45077,10
Encode-Decode_Experiment-22-1,150472,pizza-slice,Which description best matches the image?,"two women were outside posing with a slice of pizza on a paper plate. they both had their mouths open, pretending to take a bite",28931,11
Encode-Decode_Experiment-22-1,2347400,wine,Which description best matches the image?,two men sat on a beige couch in a living room smelling glasses of red wine. there was a tv behind them.,22895,12
Encode-Decode_Experiment-22-1,2379478,baby-milk,Which description best matches the image?,two babies lying on a bed both drinking milk from bottles. the photo was in black and white. one was wearing a nappy,21796,13
Encode-Decode_Experiment-22-1,2369373,chef,Which description best matches the image?,a male chef was putting a pizza tool into a pizza oven. the oven was shaped like an open mouth and was made of stone,27197,14
Encode-Decode_Experiment-22-1,2370664,donuts,Which description best matches the image?,three adults looked at the camera biting donuts on a street. the woman was in the middle and two men were on either side of her,25326,15
Encode-Decode_Experiment-22-1,2385550,tangerines,Which description best matches the image?,two people were posing with tangerines in their mouths,13971,16
Encode-Decode_Experiment-22-1,2348899,tie,Which description best matches the image?,four people were in the photo. one man with a purple and white striped tie and a black suit was in the centre. the woman to his right was pointing at his tie. it looked like a party,34372,17
Encode-Decode_Experiment-22-1,2371471,bike-stuntmen,Which description best matches the image?,two men were riding stunt bikes. the one on the right was attempting a handstand. both were in mid-air. there as a dirt ramp below them and metal railings behind them. their suits were red and white and they were both wearing helmets,53095,18
Encode-Decode_Experiment-22-1,2356125,airport,Which description best matches the image?,four uniformed workers were standing behind a conveyor belt. two of them were loading a suitcase onto the belt. there were three suitcases in total. the two people on the left were stodd against a wall,40061,19
Encode-Decode_Experiment-22-1,2345035,football,Which description best matches the image?,"two girls were chasing a ball. one girl had a navy shirt, one had a white one. they were on a grass pitch",25364,20
Encode-Decode_Experiment-22-1,2409918,elephant,Which description best matches the image?,two elephants were swimming in water. they both had men sat on their backs. the one on the right was eating plants. there was a waterfall behind them,30342,21
Encode-Decode_Experiment-22-1,2385851,suitcase,Which description best matches the image?,"four people were in uniforms at an airport, two people were unloading a suitcase onto a conveyor belt",41746,22
Encode-Decode_Experiment-22-1,2411268,apple,Which description best matches the image?,a little girl was reaching up to pick apples off a tree. she was holding a red bag and wearing pink welly boots and a beige coat. she was wearing a black he?UNKNOWN?adband,37270,23
Encode-Decode_Experiment-22-1,2360001,clock,Which description best matches the image?,four men were stood on scaffolding holding a clock above their heads. the photo was in black and white,18549,24
Encode-Decode_Experiment-22-1,2408717,surfboard,Which description best matches the image?,four women were walking towards the sea holding surfboards. the two surfboards on the right were neon green. they were all wearing wetsuits and had bare feet,31081,25
Encode-Decode_Experiment-22-1,2350974,drink,Which description best matches the image?,two men wrre sitting a couch smelling red wine in wine glasses,28959,26
Encode-Decode_Experiment-22-1,2397102,cake,Which description best matches the image?,"two people, a man and a woman, were cutting a cake and holding hands around the knife. the cake was white with colourful decorations",32633,27
Encode-Decode_Experiment-22-1,2362704,bears,Which description best matches the image?,two black bears were laid down and were eating pumpkins,10282,28
Encode-Decode_Experiment-22-1,2356991,baseball,Which description best matches the image?,two men were playing baseball. one was trying to catch the baseball. one was falling over trying to reach base,21448,29
Encode-Decode_Experiment-22-1,2387122,polar bear,Which description best matches the image?,a polar bear was in water with its paw pressed against the glass enclusre. aperson with blonde har was looking at the bear. they had a black camera hung around them,31976,30
