SubjectID,StimID,CueText,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-2-1,2344622,cat,thecatwaslayingdownonbluematerialandthereasacomputerscreenneaecatasitwasrestingitshead,46382,1
Encode-Decode_Experiment-2-1,2408717,surfboard,fourwomenwerecarryingsurfboardsandtwoofthesurfboardsattefrmtweregretheyalllookedliketheywerelkingintothewater,51701,2
Encode-Decode_Experiment-2-1,2362704,bears,twobrownbearswereeatingpmpkinsandbothpumpkinswereverrippedapart,37975,3
Encode-Decode_Experiment-2-1,2369373,chef,amaninachefsuniformwasplacingbreadorpizzaintoabopenovenandyoucouldseetheflamesfromtheoven,48694,4
Encode-Decode_Experiment-2-1,2409918,elephant,thereweretwoelephantsinthewaterandtheybothhamenntheirbacksandtheelephantwhichwasfurtherbachmanontopwhowasnhisknees,66497,5
Encode-Decode_Experiment-2-1,2356125,airport,threeairprtworkersohadveryseriouslooknguniformsonwerestandingnearaconvyorbeltandtwooutofthethreeworkerswereputtinluggageinotheconveyorbelt,58483,6
Encode-Decode_Experiment-2-1,2379478,baby-milk,twobabiesarelangdndrinkingmilkoutofbabybottles,23535,7
Encode-Decode_Experiment-2-1,2348899,tie,therewerethrmenandonewomanndoneofthenwassatdownwithacolourfultieonwhichthewonatthefrontfthephotowastouching,54216,8
Encode-Decode_Experiment-2-1,150472,pizza,twowomnwerenanoutsidelocatiotouchigapizzaslicewhichwasonawhitepaperplateandtheylookedliketheyweregoingtoeatit,58069,9
Encode-Decode_Experiment-2-1,2386442,teeth,,20225,10
Encode-Decode_Experiment-2-1,2385550,tangerines,twoyougchildrnaboyandagirlhadhalfofatangerineeachinthermouthscoveringtheirsmiles,38166,11
Encode-Decode_Experiment-2-1,2347400,wine,twomensittingnexttoeachotheronacouchhadwineglassesinhandmellingtheredwine,24559,12
Encode-Decode_Experiment-2-1,2394020,horse ride,twohorsesonabeach,11207,13
Encode-Decode_Experiment-2-1,2374670,spray-vehicle,amanwasridigonthebackfasprayvehicleasitwassprayingwateronthefloor,33996,14
Encode-Decode_Experiment-2-1,2371471,motorcycle,twoinmidanmotorcyclesandtheoneinfrontwasdoingatrickashewasgettingclosetotheramp,39099,15
Encode-Decode_Experiment-2-1,2397102,cake,amanandawomanwhowaswearingapurpledresswerecuttingintoacaketogether,23446,16
Encode-Decode_Experiment-2-1,2349475,blender,amanwhowaspossiblypoweringtheblenderthroughridingabikewasnexttoawomanwhowassmilingwhilstholdigontotheblender,41115,17
Encode-Decode_Experiment-2-1,2410309,laptop,amotherhowasworkngonthecouchnherlaptopwassatnexttoababywhowastouchingthemouseorkeyboardofadifferenlaptop,47620,18
Encode-Decode_Experiment-2-1,2356991,baseball,twoyougadultsweregettingclosetothenextbasndnewasonthefloorgoingheadfirstintothebasewhilsteotheronewasonhisfeettryingtocatchtheball,57914,19
Encode-Decode_Experiment-2-1,2360001,clock,threemenweretryingtliftamassiveclokuptosomewhere,20156,20
Encode-Decode_Experiment-2-1,2350974,drink,,11836,21
Encode-Decode_Experiment-2-1,2385851,suitcase,twomenwerewalkingsmewhereuphillandbothcarryngredsuitcasesntheirbacks,30880,22
Encode-Decode_Experiment-2-1,2412687,dog,amanandadogwereataparkandtemnwasholdingaredfrisbeloetothedogsmouthwholookedlikwasreadyobiteontothefrisbee,49099,23
Encode-Decode_Experiment-2-1,2387122,polar bear,apolarbearbehndglasswasmakingeyecontactwithaphotographerontheoppositesideoftheglassandthepolarbearwainwaterbutitsheadwasaboewater,53414,24
Encode-Decode_Experiment-2-1,2345035,football,twoyounggirlswhthenumbers20and3onthebackwererunningclosetoafootball,25284,25
Encode-Decode_Experiment-2-1,2411268,apple,,3088,26
Encode-Decode_Experiment-2-1,2370664,donuts,,362,27
Encode-Decode_Experiment-2-1,2347025,umbrella,,386,28
Encode-Decode_Experiment-2-1,2367132,video game,,330,29
Encode-Decode_Experiment-2-1,2383555,boat,,386,30
